"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","12436","0.0-0.0","2025-05-13T15:09:27.523Z","4_0000p1","","","","","","",""
"","","","","","survey","1","4094458","0.0-1.0","2025-05-13T15:09:27.523Z","4_0000p1","4081957","{""testrun"":""Pilot (Test run)""}","testrun","","","",""
"","","","","","survey-text","2","4183969","0.0-2.0","2025-05-13T15:09:27.523Z","4_0000p1","89489","{""subject_id"":""4_0000p1""}","welcome","","","",""
"","","","","","html-slider-response","3","4233152","0.0-3.0-0.0","2025-05-13T15:09:27.523Z","4_0000p1","49181","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","",""
"","","","","","html-slider-response","4","4237432","0.0-3.0-1.0","2025-05-13T15:09:27.523Z","4_0000p1","4278","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","",""
"","","","","","html-button-response","5","4246104","0.0-3.0-2.0","2025-05-13T15:09:27.523Z","4_0000p1","8671","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","",""
"","","","","","html-keyboard-response","6","4428644","0.0-3.0-3.0","2025-05-13T15:09:27.523Z","4_0000p1","null","null","rest","","","",""
"","","","","","call-function","7","4428648","0.0-3.0-4.0-0.0","2025-05-13T15:09:27.523Z","4_0000p1","","","","","","",""
"","","","","","survey","8","4481194","0.0-3.0-4.0-1.0","2025-05-13T15:09:27.523Z","4_0000p1","52437","{""PCIIntro"":null,""PCIRest1"":null,""PCIRest2"":null,""PCIRest3"":null,""PCIRest4"":null,""PCIRest5"":null,""PCIRest6"":null,""PCIRest7"":null,""PCIRest8"":null,""PCIRest9"":null,""PCIRest10"":null,""PCIRest11"":null,""PCIRest12"":null,""PCIRest13"":null}","PCIRest","","","",""
"","","","","","call-function","9","4481195","0.0-3.0-4.0-2.0","2025-05-13T15:09:27.523Z","4_0000p1","","","","","","",""
"","","","","","instructions","10","4624593","0.0-3.0-5.0","2025-05-13T15:09:27.523Z","4_0000p1","143397","","instructions1","","","","[{""page_index"":0,""viewing_time"":143397}]"
"","","","","","html-button-response","11","4641233","0.0-3.0-6.0","2025-05-13T15:09:27.523Z","4_0000p1","16637","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
