"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value"
"true","false","[]","[]","[]","preload","0","7218","0.0-0.0","2025-04-25T13:38:46.012Z","5_t82o47","","","","","",""
"","","","","","survey","1","21407","0.0-1.0","2025-04-25T13:38:46.012Z","5_t82o47","14167","{""testrun"":""Experiment""}","testrun","","",""
"","","","","","survey-text","2","232826","0.0-2.0","2025-04-25T13:38:46.012Z","5_t82o47","211402","{""subject_id"":""5_t82o47""}","welcome","","",""
"","","","","","html-slider-response","3","270553","0.0-3.0","2025-04-25T13:38:46.012Z","5_t82o47","37725","0","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50",""
"","","","","","html-slider-response","4","275225","0.0-4.0","2025-04-25T13:38:46.012Z","5_t82o47","4671","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50",""
"","","","","","html-button-response","5","294721","0.0-5.0","2025-04-25T13:38:46.012Z","5_t82o47","19495","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","",""
"","","","","","html-keyboard-response","6","477236","0.0-6.0","2025-04-25T13:38:46.012Z","5_t82o47","null","null","rest","","",""
"","","","","","call-function","7","477239","0.0-7.0-0.0","2025-04-25T13:38:46.012Z","5_t82o47","","","","","",""
